STATE|STATEFP|PLACEFP|PLACENAME|TYPE|FUNCSTAT|COUNTY

GA|13|41540|Ivey city|Incorporated Place|A|Wilkinson County

GA|13|41596|Jackson city|Incorporated Place|A|Butts County

GA|13|41708|Jacksonville city|Incorporated Place|A|Telfair County

GA|13|41792|Jakin city|Incorporated Place|A|Early County

GA|13|41932|Jasper city|Incorporated Place|A|Pickens County

GA|13|41988|Jefferson city|Incorporated Place|A|Jackson County

GA|13|42100|Jeffersonville city|Incorporated Place|A|Twiggs County

GA|13|42156|Jenkinsburg city|Incorporated Place|A|Butts County

GA|13|42184|Jersey city|Incorporated Place|A|Walton County

GA|13|42268|Jesup city|Incorporated Place|A|Wayne County

GA|13|42425|Johns Creek city|Incorporated Place|A|Fulton County

GA|13|42604|Jonesboro city|Incorporated Place|A|Clayton County

GA|13|42800|Junction City town|Incorporated Place|A|Talbot County

GA|13|43192|Kennesaw city|Incorporated Place|A|Cobb County

GA|13|43360|Keysville city|Incorporated Place|A|Burke County

GA|13|43640|Kingsland city|Incorporated Place|A|Camden County

GA|13|43668|Kingston city|Incorporated Place|A|Bartow County

GA|13|43892|Kite city|Incorporated Place|A|Johnson County

GA|13|44312|LaFayette city|Incorporated Place|A|Walker County

GA|13|44340|LaGrange city|Incorporated Place|A|Troup County

GA|13|44508|Lake City city|Incorporated Place|A|Clayton County

GA|13|44592|Lakeland city|Incorporated Place|A|Lanier County

GA|13|44704|Lake Park city|Incorporated Place|A|Lowndes County

GA|13|45460|Lavonia city|Incorporated Place|A|Franklin County, Hart County

GA|13|45488|Lawrenceville city|Incorporated Place|A|Gwinnett County

GA|13|45600|Leary city|Incorporated Place|A|Calhoun County

GA|13|45768|Leesburg city|Incorporated Place|A|Lee County

GA|13|45936|Lenox town|Incorporated Place|A|Cook County

GA|13|46020|Leslie city|Incorporated Place|A|Sumter County

GA|13|46188|Lexington city|Incorporated Place|A|Oglethorpe County

GA|13|46356|Lilburn city|Incorporated Place|A|Gwinnett County

GA|13|46384|Lilly city|Incorporated Place|A|Dooly County

GA|13|46552|Lincolnton city|Incorporated Place|A|Lincoln County

GA|13|46860|Lithonia city|Incorporated Place|A|DeKalb County

GA|13|47140|Locust Grove city|Incorporated Place|A|Henry County

GA|13|47196|Loganville city|Incorporated Place|A|Gwinnett County, Walton County

GA|13|47252|Lone Oak town|Incorporated Place|A|Meriwether County

GA|13|47336|Lookout Mountain city|Incorporated Place|A|Walker County

GA|13|47560|Louisville city|Incorporated Place|A|Jefferson County

GA|13|47616|Lovejoy city|Incorporated Place|A|Clayton County

GA|13|47784|Ludowici city|Incorporated Place|A|Long County

GA|13|47896|Lula city|Incorporated Place|A|Banks County, Hall County

GA|13|47952|Lumber City city|Incorporated Place|A|Telfair County

GA|13|47980|Lumpkin city|Incorporated Place|A|Stewart County

GA|13|48008|Luthersville city|Incorporated Place|A|Meriwether County

GA|13|48092|Lyerly town|Incorporated Place|A|Chattooga County

GA|13|48232|Lyons city|Incorporated Place|A|Toombs County

GA|13|48428|McCaysville city|Incorporated Place|A|Fannin County

GA|13|48624|McDonough city|Incorporated Place|A|Henry County

GA|13|48848|McIntyre town|Incorporated Place|A|Wilkinson County

GA|13|49000|Macon city|Incorporated Place|A|Bibb County, Jones County

GA|13|49084|McRae city|Incorporated Place|A|Telfair County

GA|13|49196|Madison city|Incorporated Place|A|Morgan County

GA|13|49504|Manassas city|Incorporated Place|A|Tattnall County

GA|13|49532|Manchester city|Incorporated Place|A|Meriwether County, Talbot County

GA|13|49616|Mansfield city|Incorporated Place|A|Newton County

GA|13|49756|Marietta city|Incorporated Place|A|Cobb County

GA|13|49924|Marshallville city|Incorporated Place|A|Macon County

GA|13|50008|Martin town|Incorporated Place|A|Franklin County, Stephens County

GA|13|50260|Maxeys town|Incorporated Place|A|Oglethorpe County

GA|13|50484|Maysville town|Incorporated Place|A|Banks County, Jackson County

GA|13|50596|Meansville city|Incorporated Place|A|Pike County

GA|13|50680|Meigs city|Incorporated Place|A|Mitchell County, Thomas County

GA|13|50848|Menlo city|Incorporated Place|A|Chattooga County

GA|13|51072|Metter city|Incorporated Place|A|Candler County

GA|13|51240|Midville city|Incorporated Place|A|Burke County

GA|13|51352|Midway city|Incorporated Place|A|Liberty County

GA|13|51408|Milan city|Incorporated Place|A|Dodge County, Telfair County

GA|13|51492|Milledgeville city|Incorporated Place|A|Baldwin County

GA|13|51520|Millen city|Incorporated Place|A|Jenkins County

GA|13|51604|Milner city|Incorporated Place|A|Lamar County

GA|13|51670|Milton city|Incorporated Place|A|Fulton County

GA|13|51968|Mitchell town|Incorporated Place|A|Glascock County

GA|13|52108|Molena city|Incorporated Place|A|Pike County

GA|13|52192|Monroe city|Incorporated Place|A|Walton County

GA|13|52304|Montezuma city|Incorporated Place|A|Macon County

GA|13|52416|Monticello city|Incorporated Place|A|Jasper County

GA|13|52500|Montrose town|Incorporated Place|A|Laurens County

GA|13|52668|Moreland town|Incorporated Place|A|Coweta County

GA|13|52696|Morgan city|Incorporated Place|A|Calhoun County

GA|13|52724|Morganton city|Incorporated Place|A|Fannin County

GA|13|53004|Morrow city|Incorporated Place|A|Clayton County

GA|13|53032|Morven city|Incorporated Place|A|Brooks County

GA|13|53060|Moultrie city|Incorporated Place|A|Colquitt County

GA|13|53116|Mountain City town|Incorporated Place|A|Rabun County

GA|13|53172|Mountain Park city|Incorporated Place|A|Cherokee County, Fulton County

GA|13|53284|Mount Airy town|Incorporated Place|A|Habersham County

GA|13|53508|Mount Vernon city|Incorporated Place|A|Montgomery County

GA|13|53620|Mount Zion city|Incorporated Place|A|Carroll County

GA|13|54124|Nahunta city|Incorporated Place|A|Brantley County

GA|13|54264|Nashville city|Incorporated Place|A|Berrien County

GA|13|54572|Nelson city|Incorporated Place|A|Cherokee County, Pickens County

GA|13|54656|Newborn town|Incorporated Place|A|Newton County

GA|13|54992|Newington town|Incorporated Place|A|Screven County

GA|13|55020|Newnan city|Incorporated Place|A|Coweta County

GA|13|55244|Newton city|Incorporated Place|A|Baker County

GA|13|55440|Nicholls city|Incorporated Place|A|Coffee County

GA|13|55468|Nicholson city|Incorporated Place|A|Jackson County

GA|13|55776|Norcross city|Incorporated Place|A|Gwinnett County

GA|13|55860|Norman Park city|Incorporated Place|A|Colquitt County

GA|13|56308|North High Shoals town|Incorporated Place|A|Oconee County

GA|13|56560|Norwood city|Incorporated Place|A|Warren County

GA|13|56644|Nunez city|Incorporated Place|A|Emanuel County

GA|13|57232|Oak Park town|Incorporated Place|A|Emanuel County

GA|13|57260|Oakwood city|Incorporated Place|A|Hall County

GA|13|57372|Ochlocknee town|Incorporated Place|A|Thomas County

GA|13|57428|Ocilla city|Incorporated Place|A|Irwin County

GA|13|57456|Oconee city|Incorporated Place|A|Washington County

GA|13|57540|Odum city|Incorporated Place|A|Wayne County

GA|13|57568|Offerman city|Incorporated Place|A|Pierce County

GA|13|57736|Oglethorpe city|Incorporated Place|A|Macon County

GA|13|58100|Oliver city|Incorporated Place|A|Screven County

GA|13|58184|Omega city|Incorporated Place|A|Colquitt County, Tift County

GA|13|58296|Orchard Hill town|Incorporated Place|A|Spalding County

GA|13|58744|Oxford city|Incorporated Place|A|Newton County

GA|13|58884|Palmetto city|Incorporated Place|A|Coweta County, Fulton County

GA|13|59416|Parrott town|Incorporated Place|A|Terrell County

GA|13|59500|Patterson city|Incorporated Place|A|Pierce County

GA|13|59556|Pavo city|Incorporated Place|A|Brooks County, Thomas County

GA|13|59584|Payne city|Incorporated Place|A|Bibb County

GA|13|59724|Peachtree City city|Incorporated Place|A|Fayette County

GA|13|59808|Pearson city|Incorporated Place|A|Atkinson County

GA|13|59976|Pelham city|Incorporated Place|A|Mitchell County

GA|13|60004|Pembroke city|Incorporated Place|A|Bryan County

GA|13|60032|Pendergrass town|Incorporated Place|A|Jackson County

GA|13|60340|Perry city|Incorporated Place|A|Houston County, Peach County

GA|13|60984|Pinehurst city|Incorporated Place|A|Dooly County

GA|13|61040|Pine Lake city|Incorporated Place|A|DeKalb County

GA|13|61124|Pine Mountain town|Incorporated Place|A|Harris County, Meriwether County

GA|13|61320|Pineview town|Incorporated Place|A|Wilcox County

GA|13|61544|Pitts city|Incorporated Place|A|Wilcox County

GA|13|61628|Plains city|Incorporated Place|A|Sumter County

GA|13|61684|Plainville city|Incorporated Place|A|Gordon County

GA|13|62104|Pooler city|Incorporated Place|A|Chatham County

GA|13|62216|Portal town|Incorporated Place|A|Bulloch County

GA|13|62244|Porterdale city|Incorporated Place|A|Newton County

GA|13|62328|Port Wentworth city|Incorporated Place|A|Chatham County

GA|13|62496|Poulan city|Incorporated Place|A|Worth County

GA|13|62524|Powder Springs city|Incorporated Place|A|Cobb County

GA|13|63000|Pulaski town|Incorporated Place|A|Candler County

GA|13|63224|Quitman city|Incorporated Place|A|Brooks County

GA|13|63560|Ranger town|Incorporated Place|A|Gordon County

GA|13|63728|Ray City city|Incorporated Place|A|Berrien County

GA|13|63756|Rayle town|Incorporated Place|A|Wilkes County

GA|13|63840|Rebecca town|Incorporated Place|A|Turner County

GA|13|64372|Register town|Incorporated Place|A|Bulloch County

GA|13|64512|Reidsville city|Incorporated Place|A|Tattnall County

GA|13|64596|Remerton city|Incorporated Place|A|Lowndes County

GA|13|64680|Rentz city|Incorporated Place|A|Laurens County

GA|13|64736|Resaca town|Incorporated Place|A|Gordon County

GA|13|64792|Rest Haven town|Incorporated Place|A|Gwinnett County, Hall County

GA|13|64876|Reynolds city|Incorporated Place|A|Taylor County

GA|13|64932|Rhine town|Incorporated Place|A|Dodge County

GA|13|64960|Riceboro city|Incorporated Place|A|Liberty County

GA|13|65016|Richland city|Incorporated Place|A|Stewart County

GA|13|65044|Richmond Hill city|Incorporated Place|A|Bryan County

GA|13|65156|Riddleville town|Incorporated Place|A|Washington County

GA|13|65296|Rincon town|Incorporated Place|A|Effingham County

GA|13|65324|Ringgold city|Incorporated Place|A|Catoosa County

GA|13|65464|Riverdale city|Incorporated Place|A|Clayton County

GA|13|65604|Riverside town|Incorporated Place|A|Colquitt County

GA|13|65856|Roberta city|Incorporated Place|A|Crawford County

GA|13|66024|Rochelle city|Incorporated Place|A|Wilcox County

GA|13|66276|Rockmart city|Incorporated Place|A|Polk County

GA|13|66444|Rocky Ford town|Incorporated Place|A|Screven County

GA|13|66668|Rome city|Incorporated Place|A|Floyd County

GA|13|66696|Roopville town|Incorporated Place|A|Carroll County

GA|13|67256|Rossville city|Incorporated Place|A|Walker County

GA|13|67284|Roswell city|Incorporated Place|A|Fulton County

GA|13|67452|Royston city|Incorporated Place|A|Franklin County, Hart County, Madison County

GA|13|67760|Rutledge city|Incorporated Place|A|Morgan County

GA|13|67984|St. Marys city|Incorporated Place|A|Camden County

GA|13|68096|Sale City city|Incorporated Place|A|Mitchell County

GA|13|68208|Sandersville city|Incorporated Place|A|Washington County

GA|13|68516|Sandy Springs city|Incorporated Place|A|Fulton County

GA|13|68600|Santa Claus city|Incorporated Place|A|Toombs County

GA|13|68740|Sardis city|Incorporated Place|A|Burke County

GA|13|68796|Sasser town|Incorporated Place|A|Terrell County

GA|13|69000|Savannah city|Incorporated Place|A|Chatham County

GA|13|69336|Scotland city|Incorporated Place|A|Telfair County, Wheeler County

GA|13|69448|Screven city|Incorporated Place|A|Wayne County

GA|13|69672|Senoia city|Incorporated Place|A|Coweta County

GA|13|69784|Shady Dale town|Incorporated Place|A|Jasper County

GA|13|69896|Sharon city|Incorporated Place|A|Taliaferro County

GA|13|69980|Sharpsburg town|Incorporated Place|A|Coweta County

GA|13|70120|Shellman city|Incorporated Place|A|Randolph County

GA|13|70428|Shiloh city|Incorporated Place|A|Harris County

GA|13|70932|Siloam town|Incorporated Place|A|Greene County

GA|13|71282|Sky Valley city|Incorporated Place|A|Rabun County

GA|13|71464|Smithville city|Incorporated Place|A|Lee County

GA|13|71492|Smyrna city|Incorporated Place|A|Cobb County

GA|13|71604|Snellville city|Incorporated Place|A|Gwinnett County

GA|13|71660|Social Circle city|Incorporated Place|A|Newton County, Walton County

GA|13|71772|Soperton city|Incorporated Place|A|Treutlen County

GA|13|72556|Sparks town|Incorporated Place|A|Cook County

GA|13|72584|Sparta city|Incorporated Place|A|Hancock County

GA|13|72780|Springfield city|Incorporated Place|A|Effingham County

GA|13|73004|Stapleton city|Incorporated Place|A|Jefferson County

GA|13|73256|Statesboro city|Incorporated Place|A|Bulloch County

GA|13|73312|Statham city|Incorporated Place|A|Barrow County

GA|13|73620|Stillmore city|Incorporated Place|A|Emanuel County

GA|13|73704|Stockbridge city|Incorporated Place|A|Henry County

GA|13|73816|Stone Mountain city|Incorporated Place|A|DeKalb County

GA|13|74180|Sugar Hill city|Incorporated Place|A|Gwinnett County

GA|13|74348|Summertown city|Incorporated Place|A|Emanuel County

GA|13|74376|Summerville city|Incorporated Place|A|Chattooga County

GA|13|74432|Sumner town|Incorporated Place|A|Worth County

GA|13|74572|Sunny Side city|Incorporated Place|A|Spalding County

GA|13|74852|Surrency town|Incorporated Place|A|Appling County

GA|13|74936|Suwanee city|Incorporated Place|A|Gwinnett County

GA|13|74964|Swainsboro city|Incorporated Place|A|Emanuel County

GA|13|75104|Sycamore city|Incorporated Place|A|Turner County

GA|13|75160|Sylvania city|Incorporated Place|A|Screven County

GA|13|75188|Sylvester city|Incorporated Place|A|Worth County

GA|13|75244|Talbotton city|Incorporated Place|A|Talbot County

GA|13|75272|Talking Rock town|Incorporated Place|A|Pickens County

GA|13|75300|Tallapoosa city|Incorporated Place|A|Haralson County

GA|13|75328|Tallulah Falls town|Incorporated Place|A|Habersham County, Rabun County

GA|13|75412|Talmo town|Incorporated Place|A|Jackson County

GA|13|75496|Tarrytown town|Incorporated Place|A|Montgomery County

GA|13|75664|Taylorsville town|Incorporated Place|A|Bartow County, Polk County

GA|13|75832|Temple city|Incorporated Place|A|Carroll County, Haralson County

GA|13|75888|Tennille city|Incorporated Place|A|Washington County

GA|13|76168|Thomaston city|Incorporated Place|A|Upson County

GA|13|76224|Thomasville city|Incorporated Place|A|Thomas County

GA|13|76280|Thomson city|Incorporated Place|A|McDuffie County

GA|13|76364|Thunderbolt town|Incorporated Place|A|Chatham County

GA|13|76476|Tifton city|Incorporated Place|A|Tift County

GA|13|76504|Tiger town|Incorporated Place|A|Rabun County

GA|13|76532|Tignall town|Incorporated Place|A|Wilkes County

GA|13|76756|Toccoa city|Incorporated Place|A|Stephens County

GA|13|76952|Toomsboro city|Incorporated Place|A|Wilkinson County

GA|13|77372|Trenton city|Incorporated Place|A|Dade County

GA|13|77540|Trion town|Incorporated Place|A|Chattooga County

GA|13|77736|Tunnel Hill city|Incorporated Place|A|Whitfield County

GA|13|77764|Turin town|Incorporated Place|A|Coweta County

GA|13|77988|Twin City city|Incorporated Place|A|Emanuel County

GA|13|78036|Tybee Island city|Incorporated Place|A|Chatham County

GA|13|78044|Tyrone town|Incorporated Place|A|Fayette County

GA|13|78100|Ty Ty city|Incorporated Place|A|Tift County

GA|13|78156|Unadilla city|Incorporated Place|A|Dooly County

GA|13|78324|Union City city|Incorporated Place|A|Fulton County

GA|13|78380|Union Point city|Incorporated Place|A|Greene County

GA|13|78744|Uvalda city|Incorporated Place|A|Montgomery County

GA|13|78800|Valdosta city|Incorporated Place|A|Lowndes County

GA|13|78996|Varnell city|Incorporated Place|A|Whitfield County

GA|13|79164|Vernonburg town|Incorporated Place|A|Chatham County

GA|13|79388|Vidalia city|Incorporated Place|A|Montgomery County, Toombs County

GA|13|79416|Vidette city|Incorporated Place|A|Burke County

GA|13|79444|Vienna city|Incorporated Place|A|Dooly County

GA|13|79528|Villa Rica city|Incorporated Place|A|Carroll County, Douglas County

GA|13|79808|Waco city|Incorporated Place|A|Haralson County

GA|13|79864|Wadley city|Incorporated Place|A|Jefferson County

GA|13|79948|Waleska city|Incorporated Place|A|Cherokee County

GA|13|80228|Walnut Grove city|Incorporated Place|A|Walton County

GA|13|80256|Walthourville city|Incorporated Place|A|Liberty County

GA|13|80480|Warm Springs city|Incorporated Place|A|Meriwether County

GA|13|80508|Warner Robins city|Incorporated Place|A|Houston County, Peach County

GA|13|80592|Warrenton city|Incorporated Place|A|Warren County

GA|13|80676|Warwick city|Incorporated Place|A|Worth County

GA|13|80704|Washington city|Incorporated Place|A|Wilkes County

GA|13|80788|Watkinsville city|Incorporated Place|A|Oconee County

GA|13|80844|Waverly Hall town|Incorporated Place|A|Harris County

GA|13|80956|Waycross city|Incorporated Place|A|Pierce County, Ware County

GA|13|80984|Waynesboro city|Incorporated Place|A|Burke County

GA|13|81128|Webster County unified government|Incorporated Place|A|Webster County

GA|13|82132|West Point city|Incorporated Place|A|Harris County, Troup County

GA|13|82412|Whigham city|Incorporated Place|A|Grady County

GA|13|82468|White city|Incorporated Place|A|Bartow County

GA|13|82692|White Plains city|Incorporated Place|A|Greene County

GA|13|82720|Whitesburg city|Incorporated Place|A|Carroll County

GA|13|82972|Willacoochee city|Incorporated Place|A|Atkinson County

GA|13|83084|Williamson city|Incorporated Place|A|Pike County

GA|13|83420|Winder city|Incorporated Place|A|Barrow County

GA|13|83728|Winterville city|Incorporated Place|A|Clarke County

GA|13|83868|Woodbine city|Incorporated Place|A|Camden County

GA|13|83896|Woodbury city|Incorporated Place|A|Meriwether County

GA|13|83952|Woodland city|Incorporated Place|A|Talbot County

GA|13|84176|Woodstock city|Incorporated Place|A|Cherokee County

GA|13|84260|Woodville city|Incorporated Place|A|Greene County

GA|13|84288|Woolsey town|Incorporated Place|A|Fayette County

GA|13|84456|Wrens city|Incorporated Place|A|Jefferson County

GA|13|84512|Wrightsville city|Incorporated Place|A|Johnson County

GA|13|84708|Yatesville town|Incorporated Place|A|Upson County

GA|13|84960|Young Harris city|Incorporated Place|A|Towns County

GA|13|85128|Zebulon city|Incorporated Place|A|Pike County

ID|16|00100|Aberdeen city|Incorporated Place|A|Bingham County

ID|16|00280|Acequia city|Incorporated Place|A|Minidoka County

ID|16|01000|Albion city|Incorporated Place|A|Cassia County

ID|16|01900|American Falls city|Incorporated Place|A|Power County

ID|16|01990|Ammon city|Incorporated Place|A|Bonneville County

ID|16|03160|Arco city|Incorporated Place|A|Butte County

ID|16|03340|Arimo city|Incorporated Place|A|Bannock County

ID|16|03610|Ashton city|Incorporated Place|A|Fremont County

ID|16|03700|Athol city|Incorporated Place|A|Kootenai County

ID|16|03970|Atomic City city|Incorporated Place|A|Bingham County

ID|16|04420|Bancroft city|Incorporated Place|A|Caribou County

ID|16|05230|Basalt city|Incorporated Place|A|Bingham County

ID|16|06220|Bellevue city|Incorporated Place|A|Blaine County

ID|16|07840|Blackfoot city|Incorporated Place|A|Bingham County

ID|16|08470|Bliss city|Incorporated Place|A|Gooding County

ID|16|08560|Bloomington city|Incorporated Place|A|Bear Lake County

ID|16|08830|Boise City city|Incorporated Place|A|Ada County

ID|16|09370|Bonners Ferry city|Incorporated Place|A|Boundary County

ID|16|09730|Bovill city|Incorporated Place|A|Latah County

ID|16|10810|Buhl city|Incorporated Place|A|Twin Falls County

ID|16|11260|Burley city|Incorporated Place|A|Cassia County, Minidoka County

ID|16|11710|Butte City city|Incorporated Place|A|Butte County

ID|16|12250|Caldwell city|Incorporated Place|A|Canyon County

ID|16|12520|Cambridge city|Incorporated Place|A|Washington County

ID|16|12790|Carey city|Incorporated Place|A|Blaine County

ID|16|13150|Cascade city|Incorporated Place|A|Valley County

ID|16|13240|Castleford city|Incorporated Place|A|Twin Falls County

ID|16|13780|Challis city|Incorporated Place|A|Custer County

ID|16|14680|Chubbuck city|Incorporated Place|A|Bannock County

ID|16|14950|Clark Fork city|Incorporated Place|A|Bonner County

ID|16|15490|Clayton city|Incorporated Place|A|Custer County

ID|16|16120|Clifton city|Incorporated Place|A|Franklin County

ID|16|16750|Coeur d'Alene city|Incorporated Place|A|Kootenai County

ID|16|18640|Cottonwood city|Incorporated Place|A|Idaho County

ID|16|18820|Council city|Incorporated Place|A|Adams County

ID|16|19270|Craigmont city|Incorporated Place|A|Lewis County

ID|16|19720|Crouch city|Incorporated Place|A|Boise County

ID|16|19900|Culdesac city|Incorporated Place|A|Nez Perce County

ID|16|20350|Dalton Gardens city|Incorporated Place|A|Kootenai County

ID|16|20710|Dayton city|Incorporated Place|A|Franklin County

ID|16|20890|Deary city|Incorporated Place|A|Latah County

ID|16|20980|Declo city|Incorporated Place|A|Cassia County

ID|16|21790|Dietrich city|Incorporated Place|A|Lincoln County

ID|16|22330|Donnelly city|Incorporated Place|A|Valley County

ID|16|22510|Dover city|Incorporated Place|A|Bonner County

ID|16|22600|Downey city|Incorporated Place|A|Bannock County

ID|16|22690|Driggs city|Incorporated Place|A|Teton County

ID|16|22780|Drummond city|Incorporated Place|A|Fremont County

ID|16|22960|Dubois city|Incorporated Place|A|Clark County

ID|16|23410|Eagle city|Incorporated Place|A|Ada County

ID|16|23680|East Hope city|Incorporated Place|A|Bonner County

ID|16|24310|Eden city|Incorporated Place|A|Jerome County

ID|16|25120|Elk River city|Incorporated Place|A|Clearwater County

ID|16|25570|Emmett city|Incorporated Place|A|Gem County

ID|16|26290|Fairfield city|Incorporated Place|A|Camas County

ID|16|27460|Ferdinand city|Incorporated Place|A|Idaho County

ID|16|27550|Fernan Lake Village city|Incorporated Place|A|Kootenai County

ID|16|27730|Filer city|Incorporated Place|A|Twin Falls County

ID|16|27910|Firth city|Incorporated Place|A|Bingham County

ID|16|28810|Franklin city|Incorporated Place|A|Franklin County

ID|16|28990|Fruitland city|Incorporated Place|A|Payette County

ID|16|29620|Garden City city|Incorporated Place|A|Ada County

ID|16|30160|Genesee city|Incorporated Place|A|Latah County

ID|16|30340|Georgetown city|Incorporated Place|A|Bear Lake County

ID|16|31690|Glenns Ferry city|Incorporated Place|A|Elmore County

ID|16|32140|Gooding city|Incorporated Place|A|Gooding County

ID|16|32500|Grace city|Incorporated Place|A|Caribou County

ID|16|32770|Grand View city|Incorporated Place|A|Owyhee County

ID|16|32950|Grangeville city|Incorporated Place|A|Idaho County

ID|16|33490|Greenleaf city|Incorporated Place|A|Canyon County

ID|16|34300|Hagerman city|Incorporated Place|A|Gooding County

ID|16|34390|Hailey city|Incorporated Place|A|Blaine County

ID|16|34570|Hamer city|Incorporated Place|A|Jefferson County

ID|16|34930|Hansen city|Incorporated Place|A|Twin Falls County

ID|16|35200|Harrison city|Incorporated Place|A|Kootenai County

ID|16|35830|Hauser city|Incorporated Place|A|Kootenai County

ID|16|36370|Hayden city|Incorporated Place|A|Kootenai County

ID|16|36460|Hayden Lake city|Incorporated Place|A|Kootenai County

ID|16|36730|Hazelton city|Incorporated Place|A|Jerome County

ID|16|37360|Heyburn city|Incorporated Place|A|Minidoka County

ID|16|38080|Hollister city|Incorporated Place|A|Twin Falls County

ID|16|38170|Homedale city|Incorporated Place|A|Owyhee County

ID|16|38440|Hope city|Incorporated Place|A|Bonner County

ID|16|38620|Horseshoe Bend city|Incorporated Place|A|Boise County

ID|16|39070|Huetter city|Incorporated Place|A|Kootenai County

ID|16|39610|Idaho City city|Incorporated Place|A|Boise County

ID|16|39700|Idaho Falls city|Incorporated Place|A|Bonneville County

ID|16|40330|Inkom city|Incorporated Place|A|Bannock County

ID|16|40420|Iona city|Incorporated Place|A|Bonneville County

ID|16|40510|Irwin city|Incorporated Place|A|Bonneville County

ID|16|40600|Island Park city|Incorporated Place|A|Fremont County

ID|16|41320|Jerome city|Incorporated Place|A|Jerome County

ID|16|42130|Juliaetta city|Incorporated Place|A|Latah County

ID|16|42400|Kamiah city|Incorporated Place|A|Idaho County, Lewis County

ID|16|42580|Kellogg city|Incorporated Place|A|Shoshone County

ID|16|42760|Kendrick city|Incorporated Place|A|Latah County

ID|16|43030|Ketchum city|Incorporated Place|A|Blaine County

ID|16|43570|Kimberly city|Incorporated Place|A|Twin Falls County

ID|16|44110|Kooskia city|Incorporated Place|A|Idaho County

ID|16|44200|Kootenai city|Incorporated Place|A|Bonner County

ID|16|44290|Kuna city|Incorporated Place|A|Ada County

ID|16|45370|Lapwai city|Incorporated Place|A|Nez Perce County

ID|16|45820|Lava Hot Springs city|Incorporated Place|A|Bannock County

ID|16|45910|Leadore city|Incorporated Place|A|Lemhi County

ID|16|46540|Lewiston city|Incorporated Place|A|Nez Perce County

ID|16|46720|Lewisville city|Incorporated Place|A|Jefferson County

ID|16|47890|Lost River city|Incorporated Place|I|Custer County

ID|16|48790|McCall city|Incorporated Place|A|Valley County

ID|16|48880|McCammon city|Incorporated Place|A|Bannock County

ID|16|49240|Mackay city|Incorporated Place|A|Custer County

ID|16|50140|Malad City city|Incorporated Place|A|Oneida County

ID|16|50230|Malta city|Incorporated Place|A|Cassia County

ID|16|50950|Marsing city|Incorporated Place|A|Owyhee County

ID|16|51850|Melba city|Incorporated Place|A|Canyon County

ID|16|52030|Menan city|Incorporated Place|A|Jefferson County

ID|16|52120|Meridian city|Incorporated Place|A|Ada County

ID|16|52660|Middleton city|Incorporated Place|A|Canyon County

ID|16|52750|Midvale city|Incorporated Place|A|Washington County

ID|16|53110|Minidoka city|Incorporated Place|A|Minidoka County

ID|16|53920|Montpelier city|Incorporated Place|A|Bear Lake County

ID|16|54100|Moore city|Incorporated Place|A|Butte County

ID|16|54550|Moscow city|Incorporated Place|A|Latah County

ID|16|54730|Mountain Home city|Incorporated Place|A|Elmore County

ID|16|55270|Moyie Springs city|Incorporated Place|A|Boundary County

ID|16|55450|Mud Lake city|Incorporated Place|A|Jefferson County

ID|16|55630|Mullan city|Incorporated Place|A|Shoshone County

ID|16|55900|Murtaugh city|Incorporated Place|A|Twin Falls County

ID|16|56260|Nampa city|Incorporated Place|A|Canyon County

ID|16|56800|Newdale city|Incorporated Place|A|Fremont County

ID|16|56890|New Meadows city|Incorporated Place|A|Adams County

ID|16|56980|New Plymouth city|Incorporated Place|A|Payette County

ID|16|57250|Nezperce city|Incorporated Place|A|Lewis County

ID|16|58060|Notus city|Incorporated Place|A|Canyon County

ID|16|58330|Oakley city|Incorporated Place|A|Cassia County

ID|16|58600|Oldtown city|Incorporated Place|A|Bonner County

ID|16|58870|Onaway city|Incorporated Place|A|Latah County

ID|16|59320|Orofino city|Incorporated Place|A|Clearwater County

ID|16|59590|Osburn city|Incorporated Place|A|Shoshone County

ID|16|60040|Oxford city|Incorporated Place|A|Franklin County

ID|16|60580|Paris city|Incorporated Place|A|Bear Lake County

ID|16|60760|Parker city|Incorporated Place|A|Fremont County

ID|16|60940|Parma city|Incorporated Place|A|Canyon County

ID|16|61210|Paul city|Incorporated Place|A|Minidoka County

ID|16|61300|Payette city|Incorporated Place|A|Payette County

ID|16|61840|Peck city|Incorporated Place|A|Nez Perce County

ID|16|62740|Pierce city|Incorporated Place|A|Clearwater County

ID|16|63100|Pinehurst city|Incorporated Place|A|Shoshone County

ID|16|63550|Placerville city|Incorporated Place|A|Boise County

ID|16|63910|Plummer city|Incorporated Place|A|Benewah County

